"parametro","valor_man","valor_esa","diff_abs"
"aic",6603.29923783709,6595.17332828609,8.1259095510004
"ar1",0.96851932055443,NA,NA
"bic",6623.1292273206,6610.04296461554,13.0862627050601
"intercept",2.05530769462275,NA,NA
"logLik",-3297.64961891855,-3294.58666414304,3.06295477551021
"ma1",-0.876758068081149,-0.820492347073929,0.0562657210072199
"ma2",NA,-0.110851856560885,NA
"sigma2",31.1213754251326,31.049078393428,0.0722970317046006
