"parametro","valor"
"ar1",0.96851932055443
"ma1",-0.876758068081149
"intercept",2.05530769462275
"aic",6603.29923783709
"bic",6623.1292273206
"logLik",-3297.64961891855
"sigma2",31.1213754251326
