"lag","acf"
0,1
1,0.262029051063479
2,0.160175525838039
3,0.107565334782554
4,0.200409476424249
5,0.224630685907714
6,0.149546125527456
7,0.13752527812384
8,0.177768995840355
9,0.16548010003721
10,0.117100152567603
11,0.098338053926543
12,0.148482090848767
13,0.138817350103626
14,0.186398627252767
15,0.083150251622829
16,0.133348133978593
17,0.10204171250225
18,0.049497129982986
19,0.0871393032788804
20,0.105478809851541
